,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,smiles,unimol_similarity,tankbind_affinity,drugban_affinity,moltrans_affinity
G2_107,G2,gmdldr_reinvent,8.205044746,8.542333603,7.321166992,9.495731354,-13.3,-2.179706335,0.923602283,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC1O,0.9744544,-9.75992,-8.622179897,-6.870214906
G2_108,G2,gmdldr_reinvent,8.422679901,8.237817764,7.485581875,9.594732285,-10.6,-1.96176815,0.919541955,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC1O,0.9604715,-9.761022,-7.19075242,-6.866828821
G2_109,G2,gmdldr_reinvent,8.221031189,6.931063652,7.520580292,9.659029007,-11.1,-1.733950377,0.925217807,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCC(C)(C)O)C1O,0.9753423,-9.745992,-7.256981455,-6.855689558
G2_11,G2,gmdldr_transmol,5.782940865,6.67043972,5.063607216,8.869571686,-11.2,-2.234111547,0.924127281,CCC(CC)(c1ccc(OCC(O)CO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9638556,-9.762621,-7.64239649,-6.74916182
G2_110,G2,gmdldr_reinvent,8.369978905,7.313835144,7.551535606,9.780267715,-11.4,-2.306513786,0.923167646,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)(C)O)CC1O,0.976537,-9.746339,-8.441590173,-6.998100694
G2_111,G2,gmdldr_reinvent,8.401830673,6.96065712,5.967736721,8.738635063,-11.2,-2.494161129,0.911640823,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)C)CC1O,0.9701525,-9.753876,-6.490082097,-6.903174021
G2_112,G2,gmdldr_reinvent,7.621212006,7.043720245,7.474319458,9.690040588,-11.3,-2.048700333,0.926484108,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C(O)C1O,0.9677367,-9.7480755,-7.606632257,-6.728416614
G2_113,G2,gmdldr_reinvent,8.189970016,7.191864014,7.544669151,9.700202942,-11.7,-2.182883263,0.925981522,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C1O,0.9745394,-9.747013,-7.975430692,-7.147523213
G2_114,G2,gmdldr_reinvent,7.599087715,8.069581985,6.945237637,9.174864769,-11.3,-2.170460463,0.928444386,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(CC)CC)CC1O,0.9651773,-9.749943,-9.196092857,-6.851855132
G2_115,G2,gmdldr_reinvent,7.69244194,8.058312416,6.703287601,9.684159279,-12.2,-1.848002195,0.91752702,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)CC(C)(C)O)CC1O,0.959111,-9.744238,-7.054293714,-7.302646561
G2_116,G2,gmdldr_reinvent,7.43123579,7.180195808,6.042626381,9.508356094,-11.9,-0.728410482,0.924142361,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(=O)O)CC1O,0.95688385,-9.754611,-8.622466233,-7.058951265
G2_117,G2,gmdldr_reinvent,8.336514473,8.283073425,6.651508808,9.544487,-11.4,-2.026478052,0.92422241,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(C)(C)O)CC1O,0.9763004,-9.75075,-8.717964373,-6.55788433
G2_118,G2,gmdldr_reinvent,7.766752243,8.46586132,7.057128906,9.113275528,-12.0,-2.256109715,0.91804409,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(O)(CC)CC)CC1O,0.97558296,-9.752209,-7.486229784,-7.461724867
G2_119,G2,gmdldr_reinvent,8.180333138,7.772561073,6.543104172,9.393488884,-11.9,-2.164607525,0.932450712,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(O)C(C)C)CC1O,0.97343075,-9.75109,-6.740923797,-6.727104156
G2_12,G2,gmdldr_transmol,6.768928528,6.337340832,6.649881363,7.879179001,-10.4,-1.111078978,0.923473001,CCN(CC)CCNC(=O)c1ccc(C(CC)(CC)c2ccc(C#CC(O)(CC)CC)c(C)c2)n1C,0.9414464,-9.746355,-8.030497923,-7.154644706
G2_120,G2,gmdldr_reinvent,8.338042259,8.356227875,7.000209808,9.403202057,-12.0,-1.809449911,0.931571662,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCCC(C)(C)O)CC1O,0.95332146,-9.749785,-7.254253591,-6.579925532
G2_121,G2,gmdldr_reinvent,8.312236786,7.622403145,7.511485577,9.20207119,-11.4,-1.728253722,0.927936971,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCCCC)CC1O,0.9677582,-9.7515955,-7.37993544,-6.954393836
G2_122,G2,gmdldr_reinvent,7.09436512,7.491275311,6.253820896,9.496883392,-10.9,-1.918712616,0.92916441,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCO)CC1O,0.97603554,-9.749287,-7.484352829,-7.085244235
G2_123,G2,gmdldr_reinvent,5.425546646,5.677295208,4.20518589,5.945461273,-8.6,0.727076352,0.914960504,C=C1C(O)CC(CCCCCCCC(C)(C)O)CC1O,0.9394485,-9.759014,-7.049272221,-7.381367092
G2_124,G2,gmdldr_reinvent,4.057937622,5.388158798,4.629034996,4.62310648,-6.6,1.68231833,0.897661507,C=C1C(O)CC(O)CC1O,0.81245697,-9.766216,-6.610855705,-7.475937979
G2_125,G2,gmdldr_reinvent,7.385543823,6.948711395,4.866070271,9.134355545,-11.4,0.535039067,0.920879781,C=C1C(O)CC2C(=CC=C3CC(O)CC(O)C3)CCCC12C,0.9225211,-9.772416,-7.325724288,-6.407604204
G2_126,G2,gmdldr_reinvent,8.973767281,7.644874573,7.08929348,9.562887192,-11.7,-2.143639803,0.930616796,C=C1CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC1O,0.9664235,-9.750053,-7.507539448,-7.383380334
G2_127,G2,gmdldr_reinvent,7.741533279,6.80101347,5.981221676,9.269931793,-10.9,-0.375203848,0.921825588,C=C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC12C,0.9105029,-9.7618265,-7.244241564,-6.547218797
G2_128,G2,gmdldr_reinvent,7.089962006,7.655617714,4.160745621,9.278621674,-11.3,-1.480329275,0.933024406,CC(C)(O)CCC(C)(C)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.9730545,-9.747739,-8.157677294,-6.936991669
G2_129,G2,gmdldr_reinvent,6.573123932,5.901819706,4.906032562,9.422546387,-11.3,-0.096307993,0.91959399,CC(CCC(=O)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.95831406,-9.76083,-7.922322538,-7.535145329
G2_13,G2,gmdldr_transmol,7.080456257,6.605853558,5.836001396,8.228843689,-10.3,-0.807036102,0.925865769,CCN(CC)CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1C,0.94295627,-9.748389,-8.547765166,-6.9229178
G2_130,G2,gmdldr_reinvent,7.265164375,6.54425621,4.478863239,9.480201721,-11.9,-1.570791125,0.919980466,CC(CCC(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.9753668,-9.746594,-8.596048407,-7.404081486
G2_131,G2,gmdldr_reinvent,7.548334599,7.785330772,4.424084663,9.482759476,-11.5,-1.865787387,0.933362126,CC(CCCCC(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.97282326,-9.748859,-7.900989813,-7.27806621
G2_132,G2,gmdldr_reinvent,7.575658798,7.764024734,5.327054024,9.631670952,-12.1,-1.931411028,0.920941651,CC1=CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C1O,0.96370745,-9.750616,-8.338435554,-6.966840705
G2_133,G2,gmdldr_reinvent,4.964912891,6.010601521,4.690382481,5.796052933,-10.7,-0.763674259,0.912861526,CCC(CC)(CC)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)cc1C,0.93354106,-9.755344,-8.220930659,-6.991254669
G2_134,G2,gmdldr_reinvent,7.006611347,6.08729887,6.797267914,8.875175476,-11.8,-1.168712854,0.92862457,CCC(CC)(c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9578221,-9.747227,-8.681190924,-7.479833249
G2_135,G2,gmdldr_reinvent,6.546867371,6.598643303,7.074642658,7.543693542,-11.5,-1.730470181,0.928957462,CCC(CC)(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.91360414,-9.76007,-7.486236857,-7.102449329
G2_136,G2,gmdldr_reinvent,5.089510441,6.189677715,7.360778809,5.553081512,-10.8,-1.960329175,0.921677768,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)O)c(C)c1,0.96041656,-9.749976,-7.813602697,-7.04470417
G2_137,G2,gmdldr_reinvent,6.289546967,6.371225357,5.054211617,7.125274658,-11.1,-1.647877812,0.928534925,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.94330853,-9.765873,-8.761361302,-7.203402031
G2_138,G2,gmdldr_reinvent,6.098071098,6.537716866,5.997159004,7.827126503,-11.6,-1.918022633,0.930309951,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(O)C(C)(C)O)c(C)c1,0.9364054,-9.764827,-8.698765068,-6.894788376
G2_139,G2,gmdldr_reinvent,5.349782944,6.848545074,5.466841221,6.709605217,-11.1,-2.176846504,0.928203404,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(O)CO)c(C)c1,0.9503089,-9.762036,-7.671155406,-7.22475779
G2_14,G2,gmdldr_transmol,6.109093666,6.202278137,6.355064869,9.089280128,-10.4,-1.764899731,0.92491293,CCn1c(C(=O)NC(C)CO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.95102286,-9.745479,-7.933048645,-7.013142895
G2_140,G2,gmdldr_reinvent,6.215744972,6.642697334,4.897855759,8.346847534,-11.1,-1.496314287,0.917571545,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9427556,-9.763523,-8.554574697,-7.449184191
G2_141,G2,gmdldr_reinvent,5.955497742,6.516320229,4.916679382,8.511849403,-11.2,-1.255066633,0.931972206,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)cc1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9257262,-9.770443,-8.136354575,-6.887056557
G2_142,G2,gmdldr_reinvent,5.530200958,6.315033436,5.086548328,5.850783348,-10.8,-1.976899981,0.919884145,CCC(CC)(c1ccc(OCCC(C)(C)O)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.9399215,-9.76732,-7.67554995,-6.95212604
G2_143,G2,gmdldr_reinvent,6.201478481,6.952324867,4.788660526,8.528213501,-10.9,-1.567396164,0.928370655,CCC(CC)(c1ccc(OCCC(C)(C)O)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9404726,-9.763856,-8.521968227,-7.587778065
G2_144,G2,gmdldr_reinvent,6.231905937,6.374099731,5.596390724,7.125543594,-11.6,-1.171132207,0.917633474,CCC(CC)(c1ccc(OCCC(O)C(C)(C)C)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.9309041,-9.766205,-7.974548247,-6.78009984
G2_145,G2,gmdldr_reinvent,6.15429306,6.754516602,5.031374931,8.491132736,-11.4,-1.367988706,0.925377011,CCC(CC)(c1ccc(OCCC(O)C(C)(C)C)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9530537,-9.76526,-8.781468747,-7.175865959
G2_146,G2,gmdldr_reinvent,5.601134777,6.986484528,4.973513126,8.656168938,-10.7,-1.930988789,0.921535969,CCC(CC)(c1ccc(OCCCO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.94760525,-9.759866,-8.276069822,-6.901170825
G2_147,G2,gmdldr_reinvent,7.889750481,6.305122852,5.462644577,9.284472466,-11.5,-1.639507771,0.923413396,CCC(CC)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.97033644,-9.764903,-7.254054033,-6.682906971
G2_148,G2,gmdldr_reinvent,6.534378052,6.542239189,5.302722931,8.661944389,-11.9,-1.873893738,0.918314755,CCC(O)(C#Cc1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)cc1C)CC,0.94988805,-9.754667,-8.799667867,-7.184648808
G2_149,G2,gmdldr_reinvent,6.358290672,6.889903545,5.435707569,8.621479988,-11.2,-1.821878791,0.915276349,CCC(O)(CC)CCOc1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)cc1C,0.9506745,-9.757586,-7.919808631,-7.025843991
G2_15,G2,gmdldr_transmol,6.497289658,6.356923103,6.838201046,6.732860565,-10.6,-0.535451591,0.91555655,CCn1c(C(=O)NCCCN2CCOCC2)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.93316925,-9.754304,-10.0,-7.105583874
G2_150,G2,gmdldr_reinvent,6.916061401,6.519806862,6.363327503,9.227231979,-11.4,-1.349986553,0.918855608,CCn1c(C(=O)NC(CC(C)C)C(=O)O)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9288806,-9.743078,-8.571326899,-6.699235401
G2_151,G2,gmdldr_reinvent,6.861185551,6.263871193,6.955237389,9.010189056,-11.2,-0.841260314,0.915818989,CCn1c(C(=O)NC(CCC(=O)O)C(=O)O)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.94892514,-9.744769,-8.607768023,-6.697708502
G2_152,G2,gmdldr_reinvent,6.989814281,6.828199863,6.349703789,8.650280952,-9.9,-0.998634815,0.929512918,CCn1c(C(=O)NCC#N)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9484375,-9.750639,-8.034567933,-7.153135161
G2_153,G2,gmdldr_reinvent,5.761841774,5.286001682,7.037911415,6.451224327,-10.5,-1.39810729,0.920120358,CCn1c(C(=O)NCC(=O)O)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.9598038,-9.744048,-7.613147785,-7.23259057
G2_154,G2,gmdldr_reinvent,5.734127045,6.296197891,6.79473114,6.96710968,-10.6,-1.603808045,0.922626615,CCn1c(C(=O)NCC(O)CO)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.95301545,-9.747094,-8.442280749,-6.652402703
G2_155,G2,gmdldr_reinvent,6.171826839,6.169975758,6.940690994,8.528558731,-10.4,-1.389209986,0.924161375,CCn1c(C(=O)NCC(O)CO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.96055466,-9.748344,-8.806815771,-6.881159297
G2_156,G2,gmdldr_reinvent,6.316910744,6.793450832,6.342170715,7.87216568,-10.3,-1.629062414,0.92254591,CCn1c(C(=O)NCC(O)CO)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1,0.9502919,-9.749112,-8.607679248,-6.642617467
G2_157,G2,gmdldr_reinvent,7.390072346,6.948698044,6.725916862,8.561543465,-10.2,-1.679944038,0.92541045,CCn1c(C(=O)NCCC#N)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.95581603,-9.753708,-7.926000985,-7.321465956
G2_158,G2,gmdldr_reinvent,5.828364372,5.978766918,6.179763317,6.65514946,-10.3,-1.5185256,0.930141628,CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.9510374,-9.74748,-8.227087965,-6.794114507
G2_159,G2,gmdldr_reinvent,6.236992836,6.576921463,5.888928413,8.264157295,-9.8,-1.014184833,0.920561969,CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(OCCC(C)(C)O)c(C)c1,0.95652485,-9.746585,-8.292907154,-6.680556313
G2_16,G2,gmdldr_transmol,5.270677567,5.530432701,6.311869621,7.008353233,-9.8,-0.567251921,0.915240407,CCn1c(C(=O)NCCN(C)C)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.9449676,-9.747941,-7.64045015,-7.078532994
G2_160,G2,gmdldr_reinvent,6.691896915,6.263043404,5.683111668,8.835055351,-9.9,-1.066811323,0.922776341,CCn1c(C(=O)O)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9647795,-9.766793,-8.231593844,-6.601178875
G2_17,G2,reinvent_transmol,7.170865536,7.821995735,7.654491425,9.85544014,-11.5,-2.030191422,0.929356217,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC)CC(O)C(=CCCO)C1O,0.95083904,-9.757968,-8.675031889,-6.81381175
G2_18,G2,reinvent_transmol,6.920286179,8.968984604,7.592292786,9.819128036,-11.8,-1.718780875,0.923018396,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2C)CC(O)CC1O,0.9710766,-9.75444,-8.367965471,-6.942255199
G2_19,G2,reinvent_transmol,7.313024044,7.913043022,7.406159401,9.62771225,-12.3,-2.359752178,0.922245681,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC(C)C)CC(O)C(C)C1O,0.9723413,-9.759355,-8.662664947,-7.000396281
G2_2,G2,gmdldr_transmol,7.148265839,7.795254707,7.292823315,9.697013855,-11.1,-2.054033756,0.921377003,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2C)CC(O)CC1O,0.95519376,-9.765759,-7.171239825,-6.64314193
G2_20,G2,reinvent_transmol,7.561495781,8.088237762,7.778529644,9.549173355,-12.7,-2.14217782,0.916389644,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)C(C)C1O,0.96242404,-9.758248,-8.755760738,-7.197756663
G2_21,G2,reinvent_transmol,6.932056427,8.242431641,7.808135986,9.497692108,-11.6,-2.158148527,0.917678475,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)C(CCCO)C1O,0.9506229,-9.756249,-7.903471606,-6.700275371
G2_22,G2,reinvent_transmol,6.924612045,8.175344467,7.790418625,9.599554062,-11.2,-1.911892653,0.930792809,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)C(CCO)C1O,0.9529961,-9.757492,-8.666610601,-7.158966204
G2_23,G2,reinvent_transmol,8.151884079,8.052910805,5.793456554,9.143880844,-11.7,-1.842334509,0.92460233,C=C1C(O)CC(=CC=C2CCCC3(C)C(CCCCC(C)(C)O)CCC23)CC1O,0.9772042,-9.748683,-7.625353059,-6.254829329
G2_24,G2,reinvent_transmol,8.546085358,7.466391087,6.438232422,9.404333115,-10.8,-1.942427516,0.933863103,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CCCC)CCC(C)(C)O)CC1O,0.9674713,-9.746243,-8.066510289,-6.850948844
G2_25,G2,reinvent_transmol,7.26416254,7.392501831,6.950780392,9.685972214,-12.4,-2.241611481,0.929732919,C=C1CC(CC(C)C2CCC3C(=CC=C4CC(O)CC(O)C4=C)CCCC32C)OC1=O,0.9686818,-9.768645,-7.625454586,-6.688995811
G2_26,G2,reinvent_transmol,6.576885223,6.965574265,5.230541229,8.997685432,-10.9,-0.453189075,0.932162762,CC(CCCCCNS(C)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.95251244,-9.761268,-8.252729054,-6.523934651
G2_27,G2,reinvent_transmol,6.562969208,7.144025803,5.232475281,7.243459702,-11.6,-1.669823647,0.922951341,CC(CCCCNS(=O)(=O)C(F)(F)F)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.95029247,-9.74815,-9.062361112,-6.962663569
G2_28,G2,reinvent_transmol,7.690661907,7.576126099,6.781644821,9.256019592,-12.6,-1.315876961,0.92552644,CC(CCCCNS(=O)(=O)c1ccccc1)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.9370945,-9.760546,-7.92930659,-6.820932126
G2_29,G2,reinvent_transmol,6.35612011,6.959394455,4.927977562,9.163860321,-11.2,-1.048652649,0.919871926,CC(CCCCNS(C)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.96636885,-9.763285,-8.486893292,-6.801050731
G2_3,G2,gmdldr_transmol,7.767847538,8.418872833,7.571693897,9.551918983,-13.3,-2.391925335,0.923731446,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC(O)C(C)C1O,0.9575739,-9.763373,-7.316124323,-7.074933231
G2_30,G2,reinvent_transmol,6.629669189,8.424250603,5.768034935,7.48597908,-10.9,-1.352784634,0.925046086,CC(CCCNS(N)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.95620215,-9.749401,-9.149770949,-6.952280385
G2_31,G2,reinvent_transmol,8.089406967,8.122926712,5.948954582,9.815057755,-10.3,-2.145984888,0.933821857,CC1=C(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,0.9674376,-9.751007,-8.07819758,-7.059740176
G2_32,G2,reinvent_transmol,5.134189606,6.022199154,4.753876209,6.208359718,-10.9,-1.580777884,0.924528897,CCC(CC)(c1ccc(NCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.96084505,-9.765358,-7.185881105,-6.910304394
G2_33,G2,reinvent_transmol,6.224489212,6.085623741,4.87573576,9.054089546,-11.8,-1.467344046,0.916780293,CCC(CC)(c1ccc(NCC(O)C(C)(C)C)c(C)c1)c1ccc(NCC(O)C(C)(C)C)c(C)c1,0.9393735,-9.76058,-7.732960129,-6.706540555
G2_34,G2,reinvent_transmol,5.703566551,6.298659325,6.913541317,7.011122704,-11.1,-2.032351494,0.920968056,CCC(CC)(c1ccc(NCC(O)CO)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.95708793,-9.755583,-8.363237067,-6.972458422
G2_35,G2,reinvent_transmol,5.986432076,6.178630352,7.08095789,8.686463356,-11.2,-1.556711078,0.920165062,CCC(CC)(c1ccc(NCC(O)CO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.95331645,-9.755104,-8.450759852,-6.848827612
G2_36,G2,reinvent_transmol,5.946699142,5.806190491,4.90396595,6.345277786,-10.7,-0.916440845,0.920029342,CCC(CC)(c1ccc(NCCC(C)(C)O)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,0.9516012,-9.761454,-8.158763526,-6.527698064
G2_37,G2,reinvent_transmol,5.119577885,5.356033802,5.029389858,6.017520905,-9.7,-1.664936543,0.917783082,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)OC)n1C,0.95177794,-9.747638,-7.235419008,-6.925117097
G2_38,G2,reinvent_transmol,5.550145626,6.143841267,4.932366848,8.425255775,-10.3,-2.196834087,0.919641793,CCC(CC)(c1ccc(OCC(=O)O)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9523821,-9.756467,-7.828118274,-6.981893531
G2_39,G2,reinvent_transmol,6.682682991,6.370316505,7.119640827,7.591911316,-10.4,-0.53723526,0.910668075,CCN(CC)CCCNC(=O)c1ccc(C(CC)(CC)c2ccc(C#CC(O)(CC)CC)c(C)c2)n1CC,0.9455068,-9.743079,-8.180247176,-7.021212166
G2_4,G2,gmdldr_transmol,6.941766739,8.32690239,7.600649834,9.579117775,-11.8,-2.28677702,0.930584908,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC(O)C(CCCO)C1O,0.9622995,-9.755774,-8.694416351,-6.502789102
